City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,san rafael del sur,11.8485,-86.4384,82.36,68,25,3.96,NI,1714972593
139,carahue,-38.7,-73.1667,48.09,81,76,6.35,CL,1714972590
140,puerto ayora,-0.7393,-90.3518,72.55,98,39,6.13,EC,1714972594
141,tamanrasset,22.785,5.5228,78.71,24,40,6.91,DZ,1714972594
142,nemuro,43.3236,145.575,48.16,86,100,3.49,JP,1714972594
143,vorgashor,67.5833,63.95,11.46,92,100,3.65,RU,1714972594
144,darhan,49.4867,105.9228,71.19,23,82,3.58,MN,1714972594
145,cortina d'ampezzo,46.5384,12.1377,45.9,99,100,3.36,IT,1714972594
146,atoyac de alvarez,17.2,-100.4333,77.49,78,89,1.57,MX,1714972594
147,xai-xai,-25.0519,33.6442,63.77,86,1,6.76,MZ,1714972595
148,nuku'alofa,-21.1333,-175.2,78.8,87,100,17.92,TO,1714972387
149,labrador city,52.9463,-66.9114,41.18,85,100,13.8,CA,1714972595
150,kununurra,-15.7667,128.7333,89.58,31,43,12.66,AU,1714972595
151,dryden,49.7833,-92.7503,42.69,75,7,2.77,CA,1714972595
152,jayapura,-2.5333,140.7,87.19,80,100,6.53,ID,1714972595
153,weno,7.4515,151.8468,87.75,79,75,8.05,FM,1714972595
154,sioux city,42.5,-96.4003,56.44,60,0,5.75,US,1714972385
155,klyuchi,52.2667,79.1667,50.68,36,0,12.55,RU,1714972595
156,carnarvon,-24.8667,113.6333,74.91,46,0,20.07,AU,1714972595
157,isafjordur,66.0755,-23.124,33.87,84,20,12.71,IS,1714972596
158,stanley,54.868,-1.6985,50.52,97,20,3.44,GB,1714972596
159,luderitz,-26.6481,15.1594,60.69,63,0,6.42,NA,1714972596
160,safford,32.834,-109.7076,72.52,30,0,20.71,US,1714972596
161,port saint john's,-31.6229,29.5448,69.51,43,0,8.05,ZA,1714972596
162,tateyama,34.9833,139.8667,71.1,76,100,16.31,JP,1714972596
163,la passe,45.5549,-0.8967,53.98,81,41,13.35,FR,1714972596
164,saacow,1.6279,42.4407,79.79,88,99,13.85,SO,1714972596
165,loiza,18.4313,-65.8802,81.05,91,40,4.61,PR,1714972596
166,zahirabad,17.6833,77.6167,99.64,19,1,10.92,IN,1714972597
167,linglestown,40.334,-76.7891,58.98,97,100,4.0,US,1714972353
168,kayyerkan,69.3786,87.7439,22.3,77,100,5.23,RU,1714972597
169,kambove,-10.8764,26.5969,57.83,87,6,3.09,CD,1714972597
170,mirnyy,62.5353,113.9611,37.24,97,84,8.99,RU,1714972597
171,marsabit,2.3284,37.9899,66.94,86,97,13.4,KE,1714972597
172,zeya,53.75,127.2667,60.49,32,0,3.11,RU,1714972597
173,bikin,46.8161,134.26,58.84,46,100,11.99,RU,1714972597
174,sovetskaya gavan',48.9723,140.2878,38.1,99,100,8.14,RU,1714972597
175,constantia,44.1833,28.65,55.71,70,12,11.39,RO,1714972598
176,cabo san lucas,22.8909,-109.9124,78.62,61,100,16.28,MX,1714972598
177,cartagena,10.3997,-75.5144,82.02,89,20,4.61,CO,1714972337
178,pimenta bueno,-11.6725,-61.1936,75.76,92,67,1.99,BR,1714972598
179,mejit,10.2753,170.8646,82.18,77,97,17.16,MH,1714972598
